school_name,district,grade_level_category,school_type_or_flag,ospi_school_code,nces_id,level,grade_span,enrollment_total
Re-Engagement School (Nine Mile Falls),Nine Mile Falls School District,High,reengagement (by name),5417,530564003523,High,09-12,5
Nooksack Reengagement,Nooksack Valley School District,High,reengagement (by name),5554,530567003691,High,11-12,15
CRCC-Open Doors,North Franklin School District,High,reengagement (by name),5499,530573003621,High,09-12,7
Connell High School,North Franklin School District,High,Regular School (CCD),3272,530573000848,High,09-12,615
Palouse Junction High School,North Franklin School District,High,Alternative School (CCD),1754,530573002622,High,09-12,29
Choice Academy,North Kitsap School District,High,Alternative School (CCD),5546,530576003627,High,09-12,54
District Programs,North Kitsap School District,Other,Alternative School (CCD),1677,530576002453,Other,PK-12,0
North Kitsap Online Academy & Parent Assisted Learning,North Kitsap School District,Other,virtual/online (by name),1733,530576002653,Other,KG-12,58
North River School,North River School District,Other,Regular School (CCD),2292,530582000861,Other,PK-12,54
Northport High School,Northport School District,High,Regular School (CCD),2958,530588000874,High,09-12,58
Northport Homelink Program,Northport School District,Other,Alternative School (CCD),5252,530588003370,Other,KG-12,22
Northshore Special Services,Northshore School District,Other,Special Education School (CCD),1815,530591002731,Other,PK-12,34
Woodinville Community Center,Northshore School District,High,Regular School (CCD),3396,530591002922,High,10-12,5
Open Doors - Youth Reengagement Program,Northwest Educational Service District 189,High,regional alt / reengagement (Phase 3R SKIP),5501,530000803609,High,09-12,63
Pass Program,Northwest Educational Service District 189,High,regional alt / reengagement (Phase 3R SKIP),1811,530000802755,High,06-12,0
Skagit County Detention Center,Northwest Educational Service District 189,High,institutional (juvenile detention / youth services),3363,530000802921,High,08-12,4
Snohomish Detention Center,Northwest Educational Service District 189,High,institutional (juvenile detention / youth services),2601,530000802095,High,06-12,8
Whatcom Co Detention Center,Northwest Educational Service District 189,High,institutional (juvenile detention / youth services),3420,530000802923,High,08-12,4
Homeconnection,Oak Harbor School District,Other,Alternative School (CCD),1758,530594002628,Other,KG-12,385
Oakesdale High School,Oakesdale School District,High,Regular School (CCD),2432,530597000908,High,06-12,80
Ocosta ALE,Ocosta School District,Other,Regular School (CCD),5708,530609003829,Other,KG-12,7
Odessa High School,Odessa School District,High,Regular School (CCD),2443,530612000916,High,07-12,103
